iter	Passed	Remaining
250	548	1636
251	549	1629
252	549	1623
253	550	1617
254	551	1611
255	552	1605
256	555	1604
257	557	1603
258	559	1599
259	560	1594
260	561	1588
261	562	1583
262	563	1578
263	564	1573
264	565	1568
265	568	1567
266	573	1574
267	574	1570
268	575	1565
269	577	1560
270	578	1555
271	579	1550
272	580	1544
273	580	1539
274	587	1548
275	590	1549
276	592	1546
277	593	1541
278	594	1536
279	595	1531
280	596	1526
281	600	1529
282	603	1529
283	606	1528
284	608	1527
285	609	1522
286	610	1517
287	615	1521
288	618	1521
289	620	1519
290	624	1522
291	627	1520
292	633	1528
293	635	1525
294	636	1521
295	637	1517
296	644	1525
297	647	1525
298	651	1526
299	658	1536
300	660	1533
301	662	1530
302	675	1554
303	677	1550
304	679	1547
305	680	1543
306	683	1542
307	691	1554
308	695	1555
309	697	1553
310	700	1552
311	708	1561
312	712	1563
313	713	1559
314	719	1565
315	739	1600
316	745	1605
317	752	1614
318	758	1619
319	759	1614
320	785	1662
321	789	1662
322	790	1657
323	792	1653
324	803	1669
325	805	1666
326	817	1682
327	823	1687
328	828	1689
329	829	1683
330	830	1679
331	832	1674
332	837	1677
333	843	1681
334	863	1713
335	865	1710
336	870	1713
337	876	1717
338	888	1732
339	892	1731
340	894	1728
341	895	1723
342	896	1717
343	898	1712
344	903	1714
345	905	1711
346	906	1706
347	908	1701
348	909	1696
349	910	1691
350	920	1702
351	922	1698
352	924	1693
353	925	1688
354	928	1686
355	936	1693
356	937	1689
357	939	1684
358	940	1679
359	942	1674
360	948	1678
361	950	1675
362	953	1673
363	955	1669
364	968	1684
365	969	1680
366	971	1675
367	972	1670
368	979	1675
369	981	1670
370	983	1667
371	985	1663
372	988	1661
373	989	1656
374	995	1659
375	997	1655
376	1000	1652
377	1001	1647
378	1003	1643
379	1004	1639
380	1010	1641
381	1013	1639
382	1014	1634
383	1017	1632
384	1019	1628
385	1020	1623
386	1026	1625
387	1027	1620
388	1030	1618
389	1032	1614
390	1033	1609
391	1034	1604
392	1035	1599
393	1041	1601
394	1042	1596
395	1043	1592
396	1045	1587
397	1046	1582
398	1047	1577
399	1048	1572
400	1049	1568
401	1054	1568
402	1056	1564
403	1057	1560
404	1058	1555
405	1059	1550
406	1061	1545
407	1062	1541
408	1064	1537
409	1069	1539
410	1072	1536
411	1073	1532
412	1075	1528
413	1076	1523
414	1077	1519
415	1078	1514
416	1080	1510
417	1081	1505
418	1083	1502
419	1084	1497
420	1086	1493
421	1087	1489
422	1089	1486
423	1090	1482
424	1092	1477
425	1093	1473
426	1098	1474
427	1099	1469
428	1101	1465
429	1103	1462
430	1106	1461
431	1108	1457
432	1112	1456
433	1114	1452
434	1115	1448
435	1117	1444
436	1118	1441
437	1120	1437
438	1121	1433
439	1122	1428
440	1123	1424
441	1129	1426
442	1130	1421
443	1131	1417
444	1133	1414
